category	id	term	display_term	id_hierarchy	ontology_link_exact	ontology_link_related	crossref_wikipedia	host_ncbi_taxonomy_id	crosslink_term	hex_colour	text colour	definition	comment
host-associated	MICRONT:03030201	host-associated:animal host:urogenital tract:vagina	vagina	MICRONT:03000000;MICRONT:03020000;MICRONT:03030200		UBERON:0000996	https://en.wikipedia.org/wiki/Vagina			#dc8494	#252525	Organ of the female reproductive tract in mammals.	
host-associated	MICRONT:03030300	host-associated:animal host:airways	airways	MICRONT:03000000;MICRONT:03020000		UBERON:0001004	https://en.wikipedia.org/wiki/Respiratory_tract			#e7d4e8	#252525	Respiratory tract organs in mammals, spanning from nasal cavity to lung.	Note: in MICRONT, use is currently restricted to mammalian airways, as samples from non-mammalian animals are not (yet) prevalent in repositories.
host-associated	MICRONT:03030400	host-associated:animal host:skin	skin	MICRONT:03000000;MICRONT:03020000	ENVO:2100003	UBERON:0002097	https://en.wikipedia.org/wiki/Skin			#9970ab	#f0f0f0	Habitat provided by the flexible outer tissue covering the body of a vertebrate animal.	
host-associated	MICRONT:03030500	host-associated:animal host:bodily fluid	bodily fluid	MICRONT:03000000;MICRONT:03020000	ENVO:02000019		https://en.wikipedia.org/wiki/Body_fluid			#F2EAF3	#252525	Liquids produced and/or secreted by animal bodies.	
host-associated	MICRONT:03030501	host-associated:animal host:bodily fluid:breast milk	breast milk	MICRONT:03000000;MICRONT:03020000;MICRONT:03030500	ENVO:02000031		https://en.wikipedia.org/wiki/Breast_milk		MICRONT:03020100	#fdfff5	#f0f0f0	Milk produced in the mammary glands of women. Definition in the narrow sense, i.e. restricted to human breast milk.	refers to human breast milk only; note that milk of other mammals as (processed) food stuff is annotated as anthropogenic:food:dairy product
host-associated	MICRONT:03030502	host-associated:animal host:bodily fluid:blood	blood	MICRONT:03000000;MICRONT:03020000;MICRONT:03030500	ENVO:02000020		https://en.wikipedia.org/wiki/Blood			#880808	#f0f0f0	Bodily fluid in vertebrates that transports nutrients, oxygen, metabolic waste products and body cells (including immune cells) within a circulatory system.	
host-associated	MICRONT:03030503	host-associated:animal host:bodily fluid:cerebrospinal fluid	cerebrospinal fluid	MICRONT:03000000;MICRONT:03020000;MICRONT:03030500	ENVO:02000029		https://en.wikipedia.org/wiki/Cerebrospinal_fluid			#A291A1	#f0f0f0	Bodily fluid surrounding meningeal tissues in parts of the brain and along the spinal cord.	
host-associated	MICRONT:03030600	host-associated:animal host:mucosa	mucosa	MICRONT:03000000;MICRONT:03020000		UBERON:0000344	https://en.wikipedia.org/wiki/Mucous_membrane			#AE5654	#f0f0f0	Membraneous layer covering internal organs and lining cavities within an animal, e.g. within the mouth, nose, lung, gut or vagina.	
host-associated	MICRONT:03030700	host-associated:animal host:eye	eye	MICRONT:03000000;MICRONT:03020000		UBERON:0000970	https://en.wikipedia.org/wiki/Eye			#4b7248	#f0f0f0	A habitat directly determined by an animal's eye, i.e. a primary visual sensual organ.	
anthropogenic	MICRONT:04000000	anthropogenic	anthropogenic		ENVO:01000313		https://en.wikipedia.org/wiki/Anthropogenic_biome			#969696	#f0f0f0	A habitat that is directly and primarily determined by the impact of human activity, in particular in terms of its physical, chemical and biotic makeup.	
anthropogenic	MICRONT:04010000	anthropogenic:artificial sample	artificial	MICRONT:04000000						#f5ff00	#252525	A biological sample that is not directly derived from an environmental or host-associated microbial habitat, or which has been processed to intenionally skew the taxonomic or functional composition relative to a sample of origin.	In MICRONT, this category includes laboratory experiments, mock communities, negative and positive control samples, spike-in experiments, cultivation and enrichment designs, sorted cells, and others.
anthropogenic	MICRONT:04010100	anthropogenic:artificial sample:mock community	mock community	MICRONT:04000000;MICRONT:04010000		ENVO:01001059				#ffff99	#252525	An artificial sample with a predefined mix of organisms, used as reference or for laboratory experiments.	
anthropogenic	MICRONT:04010200	anthropogenic:artificial sample:negative control	negative control	MICRONT:04000000;MICRONT:04010000						#dbdbdb	#252525	An artificial sample that should not contain any microbes, or that was obtained to establish a baseline for microbial contamination control.	Note: in MICRONT this term refers exclusively to sampling control (e.g., swabs only or extraction buffers without biological input material); it does *not* encompass negative controls in a study design sense, i.e. samples with a control treatment.
anthropogenic	MICRONT:04010300	anthropogenic:artificial sample:controlled environment	controlled environment	MICRONT:04000000;MICRONT:04010000						#2c5252	#f0f0f0	An experimental setup within an environment where parameters like temperature and nutrient/gas availability can be actively controlled. Encompasses in particular cultivation experiments from real environmental samples, such as microcosm or mesocosm experiments.	
anthropogenic	MICRONT:04020000	anthropogenic:built environment	built environment	MICRONT:04000000			https://en.wikipedia.org/wiki/Built_environment		MICRONT:01000000	#bdbdbd	#252525	A habitat directly determined by human-manufactured structures at macroscopic scales, e.g. buildings and public infrastructure (like roads, etc)	
anthropogenic	MICRONT:04020100	anthropogenic:built environment:hospital	hospital environment	MICRONT:04000000;MICRONT:04020000	ENVO:00002173		https://en.wikipedia.org/wiki/Hospital			#986868	#f0f0f0	A building where healthcare services are provided to patients by specialized staff using specialized equipment.	
anthropogenic	MICRONT:04030000	anthropogenic:wastewater	wastewater	MICRONT:04000000		ENVO:00002001	https://en.wikipedia.org/wiki/Wastewater		MICRONT:02000000	#3F829D	#f0f0f0	Water impacted by human influence, e.g. following domestic, agricultural or industrial uses.	In MICRONT, this term to be used as generic default when more specific info is not available
anthropogenic	MICRONT:04030100	anthropogenic:wastewater:sewage	sewage	MICRONT:04000000;MICRONT:04030000	ENVO:00002018		https://en.wikipedia.org/wiki/Sewage		MICRONT:02000000	#342f08	#f0f0f0	Unprocessed domestic wastewater (before reaching a treatment plant), usually containing urine and feces.	
anthropogenic	MICRONT:04030200	anthropogenic:wastewater:sludge	sludge	MICRONT:04000000;MICRONT:04030000		ENVO:00002044				#9fa8a3	#f0f0f0	Semi-solid slurry that remains after wastewater treatment.	Includes also activated sludge (ENVO:00002046)
anthropogenic	MICRONT:04040000	anthropogenic:agriculture	agriculture	MICRONT:04000000		ENVO:00000077	https://en.wikipedia.org/wiki/Agriculture			#C3B0A5	#252525	A habitat that is directly determined or influenced by agricultural activity, i.e. crop or livestock farming.	In MICRONT, the term is primarily used as an additional qualifier, e.g. to specify that a soil (MICRONT:01010000) is indeed an agricultural soil. Also includes aquaculture samples.
anthropogenic	MICRONT:04040100	anthropogenic:agriculture:crop farming	crop farming	MICRONT:04000000;MICRONT:04040000		ENVO:01001244				#eadbad	#252525	A habitat that is primarily determined by (annual) crop species and agricultural activity.	
anthropogenic	MICRONT:04040200	anthropogenic:agriculture:manure	manure	MICRONT:04000000;MICRONT:04040000		ENVO:01001244	https://en.wikipedia.org/wiki/Manure			 #ad900d	#252525	Animal feces that are used as organic fertilizer in agriculture.	Note: in MICRONT, this term explicitly only encompasses animal manure; compost or green manure are considered in a separate category (MICRONT:04070100) as they are procedurally similar (used as fertilizers), but ecologically and microbiologically very distinct.
anthropogenic	MICRONT:04050000	anthropogenic:mine	mine	MICRONT:04000000	ENVO:00000076		https://en.wikipedia.org/wiki/Mining		MICRONT:01000000	#060607	#f0f0f0	A habitat primarily determined by anthropogenic excavations at or below the Earth's surface for the extraction of minerals.	
anthropogenic	MICRONT:04060000	anthropogenic:food	food	MICRONT:04000000		FOODON:00002403	https://en.wikipedia.org/wiki/Food			#2c5d37	#f0f0f0	Any substance consumed for nutritional purposes. Includes unprocessed (e.g., raw fruit and vegetables) and processed (e.g., fermented or cooked) food.	In MICRONT, the term primarily refers to food for human consumption, not e.g. feed for livestock or food sources for wild animals (like krill for whales, etc)
anthropogenic	MICRONT:04060100	anthropogenic:food:fermented food	fermented food	MICRONT:04000000;MICRONT:04060000	FOODON:00001258		https://en.wikipedia.org/wiki/Fermentation_in_food_processing		MICRONT:09010403	#c1cbb4	#252525	Processed food where carbohydrates have been metabolized under (mostly) anaerobic conditions by microorganisms. 	Includes in particular lactic acid, alcohol and acetic acid fermentation, among others.
anthropogenic	MICRONT:04060200	anthropogenic:food:dairy product	dairy product	MICRONT:04000000;MICRONT:04060000	FOODON:00001256		https://en.wikipedia.org/wiki/Dairy_product			#fffaf6	#252525	Food product derived from mammalian milk, usually cow, sheep, goat or mare's milk.	
anthropogenic	MICRONT:04060201	anthropogenic:food:dairy product:cheese	cheese	MICRONT:04000000;MICRONT:04060000;MICRONT:04060200	FOODON:00001013		https://en.wikipedia.org/wiki/Cheese		MICRONT:04060100	#ffdd97	#252525	Processed dairy product based on coagulated and fermented milk.	
anthropogenic	MICRONT:04060300	anthropogenic:food:meat product	meat product	MICRONT:04000000;MICRONT:04060000	FOODON:00004242		https://en.wikipedia.org/wiki/Meat			#a16868	#f0f0f0	Food product derived from animal tissue, usually muscle.	
anthropogenic	MICRONT:04070000	anthropogenic:waste	waste	MICRONT:04000000	ENVO:00002264		https://en.wikipedia.org/wiki/Waste			#fee391	#252525	Undesired or unusable material discarded as the result of human activity, but excluding humans bodily excreta.	
anthropogenic	MICRONT:04070100	anthropogenic:waste:compost	compost	MICRONT:04000000;MICRONT:04070000		ENVO:00002170	https://en.wikipedia.org/wiki/Compost			#806347	#f0f0f0	Decomposing plant or food waste, generally used as fertilizer in agriculture.	Note: does not include plant litter (MICRONT:03010300) which specifically to dead plant material that has fallen to the ground where it may also decompose, but not in a human-impacted process like composting. Also not associated with the term manure (MICRONT:04040200) which in MICRONT refers to animal manure only, even though compost and green manure are functionally similar in that all are generally used as fertilizer.
air	MICRONT:05000000	air	air			ENVO:00002005				#c7e9c0	#252525	Aerial habitats, including aerosol particles and other airborne particulate matter.	
													
salinity	MICRONT:09010101	salinity:low salinity	low salinity	MICRONT:09000000;MICRONT:09010100						#d9d9d9	#252525	salinity <0.5 ppt (in water)	
salinity	MICRONT:09010102	salinity:medium salinity	medium salinity	MICRONT:09000000;MICRONT:09010100						#bdbdbd	#252525	0.5 ppt ≤ salinity < 30 ppt (in water)	
salinity	MICRONT:09010103	salinity:high salinity	high salinity	MICRONT:09000000;MICRONT:09010100						#737373	#f0f0f0	30 ppt ≤ salinity < 50 ppt (in water)	
salinity	MICRONT:09010104	salinity:very high salinity	very high salinity	MICRONT:09000000;MICRONT:09010100						#525252	#f0f0f0	salinity >50 ppt (in water)	
temperature	MICRONT:09010201	temperature:very low temperature	very low temperature	MICRONT:09000000;MICRONT:09010200						#2166ac	#f0f0f0	temperature <=7 deg C	
temperature	MICRONT:09010202	temperature:low temperature	low temperature	MICRONT:09000000;MICRONT:09010200		ENVO:01000309;PATO:0001306				#92c5de	#252525	temperature 8-19 deg C	
temperature	MICRONT:09010203	temperature:medium temperature	medium temperature	MICRONT:09000000;MICRONT:09010200						#f4a582	#252525	temperature 20-45 deg C	
temperature	MICRONT:09010204	temperature:high temperature	high temperature	MICRONT:09000000;MICRONT:09010200	ENVO:01000305					#d6604d	#f0f0f0	temperature 46-64 deg C	
temperature	MICRONT:09010205	temperature:very high temperature	very high temperature	MICRONT:09000000;MICRONT:09010200	ENVO:01000318					#b2182b	#f0f0f0	temperature >=65 deg C	
ph	MICRONT:09010301	ph:acidic	acidic	MICRONT:09000000;MICRONT:09010300	ENVO:01000315					#c2a5cf	#252525	pH <6	
ph	MICRONT:09010302	ph:neutral ph range	neutral ph range	MICRONT:09000000;MICRONT:09010300						#d9f0d3	#252525	pH range 6-8	
ph	MICRONT:09010303	ph:alkaline	alkaline	MICRONT:09000000;MICRONT:09010300	ENVO:01000316					#5aae61	#f0f0f0	pH >8	
oxygen level	MICRONT:09010401	oxygen level:aerobic	oxic	MICRONT:09000000;MICRONT:09010400						#d6604d	#f0f0f0	oxygen concentration ≥ 4mg/L	
oxygen level	MICRONT:09010402	oxygen level:microaerobic	hypoxic	MICRONT:09000000;MICRONT:09010400						#fddbc7	#252525	low oxygen concentration, in the range of 0.5-4 mg/L; equivalent to hypoxic environment	see also https://www.pnas.org/doi/10.1073/pnas.0803833105
oxygen level	MICRONT:09010403	oxygen level:anaerobic	anoxic	MICRONT:09000000;MICRONT:09010400						#4393c3	#f0f0f0	very low or no oxygen; O2 concentration <0.5 mg/L	
biofilm	MICRONT:09030000	biofilm	biofilm	MICRONT:09000000	ENVO:00002034					#0ebdaf	#f0f0f0	An aggregation of microorganisms, usually a community of distinct species, embedded with a secreted extracellular matrix. Generally adherent to a solid substrate. 	
biofilm	MICRONT:09030100	biofilm:microbial mat	microbial mat	MICRONT:09000000;MICRONT:09030000	ENVO:01000008					#468179	#f0f0f0	A multi-layered, complex biofilm of microorganisms; can be up to several cm thick.	
captivity status	MICRONT:09040100	captivity status:wild	wild	MICRONT:09000000;MICRONT:09040000					MICRONT:03020000	#7a0177	#f0f0f0	Wild animals, not held or bred in captivity	
captivity status	MICRONT:09040200	captivity status:captive	captive	MICRONT:09000000;MICRONT:09040000					MICRONT:03020000	#ae017e	#f0f0f0	Captive animals (e.g. in a zoo), but not domesticated	
captivity status	MICRONT:09040300	captivity status:domestic	domestic	MICRONT:09000000;MICRONT:09040000					MICRONT:03020000;MICRONT:04040000	#dd3497	#f0f0f0	Domesticated animals, i.e. in close dependence to humans, bred over multiple generations	includes domesticated animals
captivity status	MICRONT:09040400	captivity status:pet	pet	MICRONT:09000000;MICRONT:09040000					MICRONT:03020000	#f768a1	#252525	Companion animals living in close association with humans, usually within a household and with constant (social) interactions with humans	
age group	MICRONT:09020101	age group:infant	infant	MICRONT:09000000;MICRONT:09020100						#fcc5c0	#252525	Human infant, aged 0-2 years	
age group	MICRONT:09020102	age group:child	child	MICRONT:09000000;MICRONT:09020100						#fa9fb5	#252525	Human child, aged >2 to 10 years	
age group	MICRONT:09020103	age group:adolescent	adolescent	MICRONT:09000000;MICRONT:09020100						#f768a1	#f0f0f0	Human adolescent, aged >10 to <18 years	
age group	MICRONT:09020104	age group:adult	adult	MICRONT:09000000;MICRONT:09020100						#dd3497	#f0f0f0	Human adult, aged 18 to 65 years	
age group	MICRONT:09020105	age group:elderly	elderly	MICRONT:09000000;MICRONT:09020100						#ae017e	#f0f0f0	Human elderly, aged >65 years	
birth term	MICRONT:09020201	birth term:preterm birth	preterm birth	MICRONT:09000000;MICRONT:09020200						#d4b9da	#252525	Born at <37 weeks gestational age (for humans)	
birth term	MICRONT:09020202	birth term:full term birth	full term birth	MICRONT:09000000;MICRONT:09020200						#ce1256	#f0f0f0	Born at ≥37 weeks gestational age (for humans)	
place of residence	MICRONT:09020301	place of residence:urban	urban dweller	MICRONT:09000000;MICRONT:09020300					MICRONT:09020401	#70786c	#f0f0f0	subject lives in an urban area (https://en.wikipedia.org/wiki/Urban_area)	
place of residence	MICRONT:09020302	place of residence:rural	rural dweller	MICRONT:09000000;MICRONT:09020300						#b8a184	#f0f0f0	subject lives in a rural area (https://en.wikipedia.org/wiki/Rural_area)	
host lifestyle	MICRONT:09020401	host lifestyle:industrialized	industrialized	MICRONT:09000000;MICRONT:09020400						#c51b7d	#f0f0f0	Lifestyle dominated by products and services provided by the use of (industrial) machines and technology	
host lifestyle	MICRONT:09020402	host lifestyle:non-industrialized	non-industrialized	MICRONT:09000000;MICRONT:09020400						#de77ae	#f0f0f0	Lifestyle not majorly impacted by products and services resulting from the use of industrial machines and technology; this includes in particular food production and processing, domestic living conditions (including sanitation) and transport	
host lifestyle	MICRONT:09020403	host lifestyle:hunter-gatherer	hunter-gatherer	MICRONT:09000000;MICRONT:09020400					MICRONT:09020402	#1b7837	#f0f0f0	Non-industrialized lifestyle where food is primarily obtained by foraging, i.e. not relying on agriculture or animal husbandry	
host lifestyle	MICRONT:09020404	host lifestyle:traditional agriculturalist	traditional agriculturalist	MICRONT:09000000;MICRONT:09020400					MICRONT:09020402	#5aae61	#f0f0f0	Non-industrialized lifestyle where food is primarily obtained from traditional agriculture, i.e. procuded in small lots without relying on industrial machines and technology; this includes pastoralism.	
ancient microbiome	MICRONT:09090100	ancient microbiome	ancient microbiome	MICRONT:09000000						#824b27	#f0f0f0	Palaeontological samples from preserved microbial communities, e.g. from ancient dental calculus or mummified tissues	
contaminated	MICRONT:09090200	contaminated	contaminated	MICRONT:09000000	CHEBI:78298					#FAE500	#252525	impacted by a contaminant, e.g. chemical or radioactive; does not refer to laboratory contamination (introduced e.g. via extraction kits)	
													
00_descriptive_tags	MICRONT:09000000	descriptive tags	descriptive tags									this is a placeholder class to define term hierarchy; do not use for annotations	
00_descriptive_tags	MICRONT:09010100	salinity	salinity	MICRONT:09000000								this is a placeholder class to define term hierarchy; do not use for annotations	
00_descriptive_tags	MICRONT:09010200	temperature	temperature	MICRONT:09000000								this is a placeholder class to define term hierarchy; do not use for annotations	
00_descriptive_tags	MICRONT:09010300	ph	ph	MICRONT:09000000								this is a placeholder class to define term hierarchy; do not use for annotations	
00_descriptive_tags	MICRONT:09010400	oxygen level	oxygen level	MICRONT:09000000								this is a placeholder class to define term hierarchy; do not use for annotations	
00_descriptive_tags	MICRONT:09040000	captivity status	captivity status	MICRONT:09000000								this is a placeholder class to define term hierarchy; do not use for annotations	
00_descriptive_tags	MICRONT:09020100	age group	age group	MICRONT:09000000								this is a placeholder class to define term hierarchy; do not use for annotations	
00_descriptive_tags	MICRONT:09020200	birth term	birth term	MICRONT:09000000								this is a placeholder class to define term hierarchy; do not use for annotations	
00_descriptive_tags	MICRONT:09020300	place of residence	place of residence	MICRONT:09000000								this is a placeholder class to define term hierarchy; do not use for annotations	
00_descriptive_tags	MICRONT:09020400	host lifestyle	host lifestyle	MICRONT:09000000								this is a placeholder class to define term hierarchy; do not use for annotations	
